source,target,value
12(數字猜謎搶答),24(數字猜謎搶答),0.4~M
撿紅點,湊10釣魚,0.1~0.2
湊10釣魚,10~18的釣魚,0.1~M
99,倒數回1,0.3~M
簡易橋牌,Just Make,0.4~M
Just Make,簡易橋牌,0.4~M
蜜月橋牌,簡易橋牌,0.4~M
簡易橋牌,蜜月橋牌,0.3~M
簡易橋牌,三人橋牌,0.4~M
爬樓梯(圖形逆推),機器人走路(拈30),0.3~M
機器人走路(拈30),爬樓梯(圖形逆推),0.3~M
阿拉丁與魔法師(因倍數),阿拉丁與魔法師(因倍數),0.5~M
套碗湊數,湊錢與換錢,0.5~M
湊錢與換錢,套碗湊數,0.4~M
義大利麵幾何(平面交點),切蛋糕(平面分割),0.5~0.8
繞星星做乘法(圖象秩序),連星星(圖象秩序),0.2~M
棋子乘法(操作秩序),繞星星做乘法(圖象秩序),0.1~0.4
